Duration,Date,Pulse,Maxpulse,Calories
45,2021-02-02,118,141,341.0
20,2021-02-03,110,130,131.4
180,2021-02-04,90,130,800.4
150,2021-02-05,105,135,873.4
150,2021-02-06,107,130,816.0
20,2021-02-07,106,136,110.4
300,2021-02-08,108,143,1500.2
150,2021-02-09,97,129,1115.0
60,2021-02-10,109,153,387.6
90,2021-02-11,100,127,700.0
150,2021-02-12,97,127,953.2
45,2021-02-13,114,146,304.0
90,2021-02-14,98,125,563.2
45,2021-02-15,105,134,251.0
45,2021-02-16,110,141,300.0
120,2021-02-17,100,130,500.4
270,2021-02-18,100,131,1729.0
30,2021-02-19,159,182,319.2
45,2021-02-20,149,169,344.0
30,2021-02-21,103,139,151.1
120,2021-02-22,100,130,500.0
45,2021-02-23,100,120,225.3
30,2021-02-24,151,170,300.1
45,2021-02-25,102,136,234.0
120,2021-02-26,100,157,1000.1
45,2021-02-27,129,103,242.0
20,2021-02-28,83,107,50.3
180,2021-03-01,101,127,600.1
45,2021-03-02,107,137,376.2
30,2021-03-03,90,107,105.3
15,2021-03-04,80,100,50.5
20,2021-03-05,150,171,127.4
20,2021-03-06,151,168,229.4
30,2021-03-07,95,128,128.2
25,2021-03-08,152,168,244.2
30,2021-03-09,109,131,188.2
90,2021-03-10,93,124,604.1
20,2021-03-11,95,112,77.7
90,2021-03-12,90,110,500.0
90,2021-03-13,90,100,500.0
90,2021-03-14,90,100,500.4
30,2021-03-15,92,108,92.7
30,2021-03-16,93,128,124.0
180,2021-03-17,90,120,800.3
30,2021-03-18,90,120,86.2
90,2021-03-19,90,120,500.3
210,2021-03-20,137,184,1860.4
60,2021-03-21,102,124,325.2
45,2021-03-22,107,124,275.0
15,2021-03-23,124,139,124.2
45,2021-03-24,100,120,225.3
60,2021-03-25,108,131,367.6
60,2021-03-26,108,151,351.7
60,2021-03-27,116,141,443.0
60,2021-03-28,97,122,277.4
60,2021-03-29,105,125,376.2
60,2021-03-30,103,124,332.7
30,2021-03-31,112,137,193.9
45,2021-04-01,100,120,100.7
60,2021-04-02,119,169,336.7
60,2021-04-03,107,127,344.9
60,2021-04-04,111,151,368.5
60,2021-04-05,98,122,271.0
60,2021-04-06,97,124,275.3
60,2021-04-07,109,127,382.0
90,2021-04-08,99,125,466.4
60,2021-04-09,114,151,384.0
60,2021-04-10,104,134,342.5
60,2021-04-11,107,138,357.5
60,2021-04-12,103,133,335.0
60,2021-04-13,106,132,327.5
60,2021-04-14,103,136,339.0
20,2021-04-15,136,156,189.0
45,2021-04-16,117,143,317.7
45,2021-04-17,115,137,318.0
45,2021-04-18,113,138,308.0
20,2021-04-19,141,162,222.4
60,2021-04-20,108,135,390.0
60,2021-04-21,97,127,376.2
45,2021-04-22,100,120,250.4
45,2021-04-23,122,149,335.4
60,2021-04-24,136,170,470.2
45,2021-04-25,106,126,270.8
60,2021-04-26,107,136,400.0
60,2021-04-27,112,146,361.9
30,2021-04-28,103,127,185.0
60,2021-04-29,110,150,409.4
60,2021-04-30,106,134,343.0
60,2021-05-01,109,129,353.2
60,2021-05-02,109,138,374.0
30,2021-05-03,150,167,275.8
60,2021-05-04,105,128,328.0
60,2021-05-05,111,151,368.5
60,2021-05-06,97,131,270.4
60,2021-05-07,100,120,270.4
60,2021-05-08,114,150,382.8
30,2021-05-09,80,120,240.9
30,2021-05-10,85,120,250.4
45,2021-05-11,90,130,260.4
45,2021-05-12,95,130,270.0
45,2021-05-13,100,140,280.9
60,2021-05-14,105,140,290.8
60,2021-05-15,110,145,300.4
60,2021-05-16,115,145,310.2
75,2021-05-17,120,150,320.4
75,2021-05-18,125,150,330.4
